student_id,attempt,upholds_code_of_ethics,professional_standards,ethical_principles,preparedness_conduct,psychological_safety,boundaries,respectful_communication,disruptive_behavior_response,cultural_sensitivity,social_determinants,diverse_perspectives,values_diverse_expertise
S01,1,78.3,67.9,65.7,62.3,73.9,78.0,64.1,67.8,77.3,74.4,59.1,61.1
S02,1,48.5,51.0,53.9,52.0,40.7,40.5,46.2,49.2,40.0,60.6,40.0,44.2
S08,2,56.3,52.5,52.0,55.9,52.6,46.4,52.3,40.9,50.3,52.8,57.8,51.3
S10,1,42.4,46.4,50.4,49.5,49.3,52.5,56.2,49.5,47.8,66.3,41.5,47.2
S03,4,54.1,69.4,63.4,64.6,76.4,65.0,78.4,62.4,70.3,65.2,64.0,68.5
S11,5,67.2,60.1,43.4,59.6,58.1,55.9,58.9,64.2,59.3,73.5,58.6,58.6
S07,4,80.3,88.4,78.6,77.1,72.2,82.6,74.9,80.5,66.6,84.3,70.0,73.4
S10,4,41.3,56.6,57.5,52.1,48.7,49.0,53.8,40.1,58.9,61.8,56.0,54.9
S03,3,53.8,46.4,66.7,65.3,54.7,71.2,61.1,65.0,57.1,65.1,62.3,67.6
S12,3,69.8,63.0,68.1,60.6,75.9,66.5,71.4,64.9,70.9,80.9,80.3,73.3
S10,2,53.0,43.1,53.7,42.6,43.7,51.2,50.8,51.8,58.2,49.3,54.5,46.3
S11,1,47.0,52.9,64.7,49.2,58.8,57.1,52.0,64.9,52.7,55.1,63.7,63.6
S07,2,69.6,62.9,66.3,70.1,83.9,72.3,76.1,70.5,80.5,70.2,84.7,70.8
S01,4,77.4,79.4,82.9,73.8,64.8,70.1,79.0,64.6,78.0,79.3,75.9,82.1
S11,3,69.8,60.8,60.6,62.5,62.0,55.0,54.0,50.9,68.5,72.4,60.6,60.0
S04,3,56.2,62.8,57.9,55.5,41.6,68.0,64.8,62.4,62.6,66.1,72.9,56.5
S02,4,69.3,57.3,63.8,47.7,52.4,55.1,63.6,43.1,59.5,57.1,62.7,57.8
S02,2,63.3,54.4,50.6,46.9,50.1,59.6,55.9,55.2,40.0,55.1,54.2,47.5
S09,1,53.4,69.6,61.0,57.2,68.5,58.1,64.7,51.9,50.9,63.7,64.5,58.9
S01,5,83.9,68.1,69.0,80.5,60.6,79.2,66.6,72.3,75.2,82.7,74.4,82.9
S09,4,56.5,67.3,63.4,58.5,57.3,68.6,71.5,70.3,68.0,65.1,64.0,66.5
S04,5,60.0,59.7,53.3,56.3,54.9,56.6,64.9,70.6,60.9,68.5,71.1,55.0
S07,5,86.8,80.4,91.8,86.4,86.5,74.5,92.3,84.5,88.1,80.6,84.8,85.6
S12,4,59.4,63.4,57.6,62.3,62.2,68.7,70.7,75.8,66.7,68.7,70.9,68.9
S06,1,57.5,70.2,63.2,73.9,65.2,70.7,67.0,68.9,66.8,66.6,73.6,63.5
S12,2,65.9,56.3,60.9,55.4,63.0,75.9,69.1,64.1,61.7,65.4,73.6,63.9
S04,1,53.5,51.4,47.4,49.9,59.6,54.7,59.9,56.9,58.3,62.6,53.2,51.3
S06,3,68.8,72.6,57.1,76.5,69.1,63.1,71.0,71.4,71.5,71.6,70.2,77.9
S02,5,65.4,65.6,56.2,59.2,63.2,54.3,60.6,66.1,60.4,56.9,53.5,79.1
S07,1,85.9,76.3,76.3,73.1,71.4,76.4,81.7,72.8,77.5,74.6,77.1,67.8
S06,2,68.2,59.7,67.2,70.4,70.9,69.0,69.1,84.4,69.3,65.2,68.0,75.9
S04,2,58.0,51.7,47.6,49.9,51.8,62.6,44.8,56.7,59.4,65.9,57.1,62.7
S05,5,73.0,76.1,81.4,59.3,72.0,82.0,59.9,83.5,60.0,70.6,85.7,84.3
S12,1,60.4,58.5,69.5,60.0,63.7,67.0,56.2,61.1,81.3,76.1,71.4,62.3
S03,2,60.0,62.4,66.5,56.3,48.0,60.1,59.7,54.7,64.8,63.2,53.6,62.6
S07,3,79.3,84.0,72.9,71.7,70.4,77.6,78.4,81.1,77.4,83.1,75.3,85.2
S11,4,55.2,62.7,52.6,47.9,54.5,67.0,55.5,73.0,64.5,54.6,56.5,63.0
S09,2,55.5,60.6,53.3,66.0,61.7,74.6,64.2,60.8,66.8,60.4,55.4,65.3
S08,3,49.5,61.7,56.3,46.1,57.0,42.0,57.0,57.8,57.9,58.7,52.4,49.3
S06,5,76.4,67.3,76.9,80.3,86.7,83.0,70.7,84.1,87.0,84.1,78.7,78.5
S09,5,58.5,71.8,62.8,75.5,68.2,73.3,71.6,71.5,76.4,76.0,71.3,67.1
S01,2,54.0,66.1,64.3,75.0,72.1,60.8,73.2,62.1,70.6,69.3,71.8,76.0
S05,2,71.5,72.2,65.1,81.6,75.3,60.5,75.2,69.4,71.7,74.5,74.0,59.4
S01,3,69.7,72.2,67.9,77.8,63.9,72.0,68.9,72.3,78.6,67.2,67.7,68.2
S10,3,47.8,47.7,53.7,55.3,44.6,69.1,58.5,57.9,44.7,46.5,54.2,60.3
S08,5,52.4,65.8,68.2,64.2,60.8,60.7,64.4,51.1,61.5,62.1,74.4,62.9
S08,1,46.3,43.4,52.4,54.7,56.0,56.2,56.1,51.2,46.5,47.2,45.8,45.3
S05,4,77.1,71.0,76.1,72.6,86.6,69.8,80.3,89.2,75.1,81.3,81.2,75.9
S10,5,52.3,52.1,44.2,54.3,53.0,58.3,51.6,45.1,48.3,59.7,66.5,52.2
S03,1,58.0,62.5,53.5,54.9,56.3,58.1,52.9,52.7,66.2,49.7,60.3,58.3
S05,3,68.4,68.5,81.8,65.8,84.2,71.7,74.3,72.4,73.1,68.2,83.3,69.0
S04,4,58.9,63.9,66.0,53.2,52.8,54.9,65.9,65.7,68.7,62.0,59.2,54.4
S12,5,67.7,60.2,64.0,76.5,81.2,58.7,72.3,74.0,71.3,79.2,87.7,70.4
S05,1,68.8,59.2,66.9,77.5,63.6,67.6,72.0,69.8,78.4,60.1,57.8,65.5
S02,3,60.6,66.8,58.3,51.1,47.0,46.0,58.1,60.6,42.3,49.9,52.2,52.4
S09,3,74.4,65.0,64.6,66.7,65.4,58.6,70.6,57.4,64.4,65.4,66.9,63.7
S03,5,69.1,65.8,68.4,63.3,64.6,56.8,49.9,70.3,73.5,65.7,65.2,62.5
S06,4,68.6,66.8,68.5,73.8,65.1,80.0,78.9,74.3,81.9,79.3,72.0,71.6
S11,2,64.2,55.1,55.1,57.6,64.2,59.6,56.1,62.1,73.3,68.8,64.5,53.7
S08,4,49.5,43.0,56.8,59.8,54.4,51.5,61.0,40.4,54.4,54.2,49.9,61.6
